Name,LastSeen,FirstSeen,NetLastSeen,NetFirstSeen,IpAddress,MacAddress,IsOnline,SerialNumber,HardwareMACAddress,AirWatchID,MerakiID,BatteryLevel,SpaceInternalRemaining,SpaceInternalTotal,IsPosi2_6_0Installed,IsMACRandomizationDisableInstalled
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/4/2023 20:30,10.10.3.103,,TRUE,,101EDA5A33A4,0,k18055c,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/4/2024 6:24,8/4/2023 20:32,10.10.3.101,,FALSE,,101EDA5A344B,0,k31e0e2,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,3/15/2024 17:35,10.10.3.106,,TRUE,,38EFE3F2EE31,0,k34882b,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,9/13/2022 14:22,10.10.3.100,,TRUE,,D8616231CC01,0,k57906a,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,1/13/2024 18:08,10.10.3.109,,TRUE,,101EDA5D35FC,0,k5abbd0,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,8/23/2023 18:25,10.44.6.106,,TRUE,,101EDA5F076A,0,k70a7c8,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,8/23/2023 18:34,10.44.6.103,,TRUE,,101EDA5F07D3,0,k87dab9,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/23/2023 18:31,10.44.6.105,,TRUE,,101EDA5DA929,0,kb5ba22,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/23/2023 18:30,10.44.6.100,,TRUE,,101EDA5F07D0,0,kc4fc60,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/2/2024 2:13,8/23/2023 18:32,10.44.6.104,,FALSE,,101EDA5DA940,0,kd98cba,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,7/27/2024 19:13,10.44.6.116,,TRUE,,6EBEAA79B798,0,kdb8768,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/16/2023 20:55,10.44.7.104,,TRUE,,101EDA5DA9D5,0,k01dc4f,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,1/31/2024 21:35,10.44.7.107,,TRUE,,101EDA5D36BB,0,k70c471,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/17/2023 23:16,10.44.7.106,,TRUE,,101EDA5DA981,0,k920194,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/17/2023 22:52,10.44.7.101,,TRUE,,101EDA5DA851,0,k108ba1,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,1/31/2024 21:36,10.44.7.109,,TRUE,,101EDA5D35F2,0,kd41bda,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,1/31/2024 23:43,10.44.7.108,,TRUE,,101EDA5D3743,0,kd9151c,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,1/17/2024 15:54,10.44.7.103,,TRUE,,101EDA5D3494,0,kee5123,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/17/2023 23:02,10.44.7.102,,TRUE,,101EDA5DA927,0,k3b1a28,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/3/2023 17:54,10.10.8.106,,TRUE,,101EDA5D3D09,0,k6f6ee0,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/2/2023 19:30,10.10.8.101,,TRUE,,101EDA5F05E8,0,k0ce247,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,8/3/2023 17:52,10.10.8.100,,TRUE,,101EDA5F0520,0,k8e9f66,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/2/2023 19:28,10.10.8.102,,TRUE,,101EDA5D353D,0,k1136fe,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:37,8/3/2023 17:58,10.10.8.105,,TRUE,,101EDA5D3CF1,0,kc6bf8d,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/2/2023 19:44,10.10.8.103,,TRUE,,101EDA5D3615,0,kd13275,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,8/3/2023 18:00,10.10.8.104,,TRUE,,101EDA5D3611,0,kd544a9,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:37,2/10/2024 20:43,10.10.8.108,,TRUE,,101EDA5D3865,0,kfbd366,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:37,2/10/2024 20:44,10.10.8.109,,TRUE,,101EDA5D382A,0,k321eac,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,2/10/2024 20:44,10.10.8.107,,TRUE,,101EDA5D3634,0,k339922,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,9/26/2024 23:01,1/24/2024 20:44,10.100.11.108,,FALSE,,101EDA5D3387,0,k73d2f0,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/15/2023 2:25,10.100.11.102,,TRUE,,101EDA5D347F,0,k0cbc3b,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,6/6/2024 21:49,10.100.11.115,,TRUE,,56C9133ADC56,0,k9a7e6c,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/15/2023 2:30,10.100.11.103,,TRUE,,101EDA5DA93D,0,ka0178e,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,7/25/2024 17:02,10.100.11.113,,TRUE,,F2D998826351,0,ka8865b,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,9/26/2024 22:37,1/24/2024 20:44,10.100.11.109,,FALSE,,101EDA5D3719,0,kc468cd,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,3/12/2024 19:42,10.100.11.105,,TRUE,,38EFE3F2E23B,0,kd23c06,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/15/2023 2:45,10.100.11.100,,TRUE,,101EDA5D334A,0,k34c4ba,0,0,0,FALSE,FALSE
